Date,Deadlift,Lat Pulldown,Machine Rows,Barbell Rows
28/09/2020,60.60.70.70.80,60.65.70.75.80,40.45.50.55.60,20.30.30.40
5/10/2020,60.70.70.80.80,65.70.75.80.85,40.45.50.55.60,20.30.30.40
12/10/2020,60.70.70.80.80,65.70.75.80.85,0.0.0,30.40.40.50
19/10/2020,70.70.80.80.90,70.75.80.85.90,45.50.55.60.65,30.40.40.50
26/10/2020,70.70.80.80.90,75.80.85.90.95,45.50.55.60.65,40.40.50.50
2/11/2020,70.70.80.80.90,75.80.85.90.95,50.55.60.65.70,40.40.50.50
9/11/2020,70.80.80.90.90,80.85.90.95.100,50.55.60.65.70,40.50.50.60
16/11/2020,70.80.80.90.90,80.85.90.95.100,50.55.60.65.70,40.50.50.60
23/11/2020,70.80.80.90.90,80.85.90.95.100,55.60.65.70.75,40.50.50.60
30/11/2020,70.80.80.90.90,80.85.90.95.100,55.60.65.70.75,50.50.60.60
7/12/2020,80.80.90.90.100,85.90.95.100.105,55.60.65.70.75,50.50.60.60
14/12/2020,80.80.90.90.100,85.90.95.100.105,55.60.65.70.75,50.50.60.60
