Date,Dumbbell Curls
28/09/2020,8.8.8.10.10
30/09/2020,8.8.8.10.10
5/10/2020,8.8.10.10.10
7/10/2020,8.8.10.10.12
12/10/2020,8.8.10.10.12
15/10/2020,8.10.10.12.12
19/10/2020,8.10.10.12.12
23/10/2020,10.10.10.12.12
26/10/2020,10.10.10.12.12
30/10/2020,10.10.12.12.14
2/11/2020,10.10.12.12.14
6/11/2020,10.10.12.12.14
9/11/2020,10.10.12.12.14
13/11/2020,10.10.12.12.14
16/11/2020,10.10.12.12.14
20/11/2020,10.12.12.14.14
23/11/2020,10.12.12.14.14
26/11/2020,10.12.12.14.14
30/11/2020,10.12.12.14.14
3/12/2020,10.12.12.14.14
7/12/2020,12.12.12.14.14
10/12/2020,12.12.12.14.14
14/12/2020,12.12.12.14.14
17/12/2020,12.12.12.14.14
