Date,Run (kcal),Skipping (active minutes - x20 for approx calories),Rows (kcal),Ab Rolls,Core (Active Minutes),Woodchoppers,Weight (kg)
28/09/2020,70,0,0,0,4,7.9 7.9 7.9 7.9 10.2,90.6
29/09/2020,115,0,0,0,4,9 9 9 14 14,91
30/09/2020,78,0,0,0,4,7.9 7.9 7.9 7.9 10.2,91
2/10/2020,107,0,0,0,4,7.9 7.9 10.2 10.2 10.2,92.1
5/10/2020,120,0,0,0,8,7.9 7.9 10.2 10.2 10.2,92.3
6/10/2020,107,0,0,0,8,7.9 7.9 10.2 10.2 10.2,92.3
7/10/2020,127,0,0,0,8,7.9 7.9 10.2 10.2 10.2,92.6
8/10/2020,0,6,0,0,8,7.9 7.9 10.2 10.2 10.2,92.1
10/10/2020,69,11,0,0,8,7.9 10.2 10.2 10.2 12.5,92.7
12/10/2020,0,5,0,0,8,7.9 10.2 10.2 10.2 12.5,93
14/10/2020,202,0,0,0,12,7.9 10.2 10.2 12.5 12.5,92.2
15/10/2020,0,16,0,0,8,7.9 10.2 10.2 12.5 12.5,91.8
16/10/2020,142,0,0,0,8,0,91.8
19/10/2020,0,16,0,0,8,7.9 10.2 10.2 12.5 12.5,92.3
20/10/2020,206,0,0,0,12,0,92.2
22/10/2020,0,16,0,0,8,0,91.3
23/10/2020,210,0,0,0,12,0,92.3
26/10/2020,0,16,0,0,12,10.2 10.2 10.2 12.5 12.5,92.3
27/10/2020,133,0,0,0,8,10.2 10.2 10.2 12.5 12.5,92
29/10/2020,0,16,0,0,8,10.2 10.2 10.2 12.5 12.5,91.8
30/10/2020,0,16,0,0,8,0,91.7
2/11/2020,0,16,0,0,8,10.2 10.2 10.2 12.5 12.5,91.8
3/11/2020,0,16,0,0,8,10.2 10.2 12.5 12.5 12.5,91.8
5/11/2020,0,16,0,0,8,0 0 12.5 12.5 12.5,91.3
6/11/2020,0,16,0,0,8,10.2 10.2 12.5 12.5 12.5,91
9/11/2020,0,16,0,0,8,0,91.6
10/11/2020,0,15,0,0,8,0,91.4
12/11/2020,0,8,0,0,4,0 0 10.2 12.5 12.5,91
13/11/2020,0,16,0,0,8,0,90.4
16/11/2020,0,14,0,20,8,0,90.8
17/11/2020,0,16,0,20,8,0,90.8
19/11/2020,0,16,0,25,8,0,90.8
20/11/2020,0,8,0,25,8,0,90.2
23/11/2020,0,16,0,30,8,0,90.9
24/11/2020,0,16,0,30,8,0,91.1
26/11/2020,0,16,0,30,8,0 0 10.2 12.5 12.5,90.8
27/11/2020,0,8,0,30,8,0 0 12.5 12.5 12.5,90.7
30/11/2020,0,16,0,36,8,0 0 14 14 14,90.7
1/12/2020,0,8,0,36,8,0,91.1
3/12/2020,0,12,0,36,8,0 0 14.7 14.7 14.7,90.8
4/12/2020,0,16,0,36,8,0,90.4
7/12/2020,0,0,80,36,2,0 0 14.7 14.7 14.7,91
8/12/2020,0,8,0,36,8,0,90.9
10/12/2020,0,0,0,0,8,0 0 14.7 14.7 14.7,90.1
12/12/2020,0,16,0,40,8,12.5 12.5 14.7 14.7 17.0,89.7
14/12/2020,0,16,0,30,8,0,90.5
15/12/2020,0,0,0,40,8,0,90.8
17/12/2020,0,0,0,40,8,12.5 14.7 14.7 17 17,90.1
