Date,Squats,Calf Press,Hip Thrusts,Quad Curl,Hamstring Curl
30/09/2020,60.60.70.70.0,70.75.80.85.90,0.0.0,50.55.60.65.70,35.40.45.50.55
7/10/2020,60.70.70.80.80,70.85.85.100.100,0.0.0,55.60.65.70.75,0.0.0
15/10/2020,60.70.70.80.80,70.85.85.100.100,0.0.0,55.60.65.70.75,40.50.50.60.60
23/10/2020,70.70.80.80.90,70.85.85.100.100,20.30.30.40.40,0.0.0,0.0.0
30/10/2020,70.70.80.80.90,70.85.85.100.100,30.30.40.40.50,0.0.0,0.0.0
6/11/2020,70.70.80.80.90,85.85.100.100.115,30.30.40.40.50,0.0.0,0.0.0
13/11/2020,70.80.80.90.90,85.85.100.100.115,30.30.40.40.50,0,0
20/11/2020,70.80.80.90.90,85.85.100.100.115,30.30.40.40.50,0,0
26/11/2020,70.80.80.90.90,85.85.100.100.115,30.40.40.50.50,0,0
3/12/2020,70.80.80.90.90,85.85.100.100.115,30.40.40.50.50,0,0
10/12/2020,80.80.90.90.100,85.85.100.100.115,0,0,0
17/12/2020,80.80.90.90.100,85.100.100.115.115,30.40.40.50.50,0,0
