Date,Barbell Shoulder Press,Dumbbell Shrugs,Rear Delt Fly,Machine Lateral Raise
29/09/2020,20.20.25.25,22.22.24.24.26,40.40.55.55.70,55.60.65.70.75
6/10/2020,20.25.25.30,22.22.24.24.26,40.55.55.70.70,60.65.70.75.80
10/10/2020,20.25.25.30,22.22.24.24.26,55.55.55.70.70,0.0.0
14/10/2020,20.25.25.30,22.24.24.26.26,55.55.70.70.70,60.65.70.75.80
20/10/2020,25.25.30.30,22.24.24.26.26,55.70.70.70.85,65.70.75.80.85
27/10/2020,25.25.30.30,24.24.26.26.28,70.70.70.85.85,65.70.75.80.85
3/11/2020,25.25.30.30,24.24.26.26.28,70.70.70.85.85,65.70.75.80.85
10/11/2020,25.30.30.35,24.24.26.26.28,70.70.85.85.100,70.75.80.85.90
17/11/2020,25.30.30.35,24.26.26.28.28,70.70.85.85.100,70.75.80.85.90
24/11/2020,25.30.30.35,24.26.26.28.28,70.70.85.85.100,70.75.80.85.90
1/12/2020,30.30.35.35,24.26.26.28.28,70.70.85.85.100,70.75.80.85.90
8/12/2020,30.30.35.35,24.26.26.28.28,70.85.85.100.100,75.80.85.90.95
15/12/2020,30.30.35.35,24.26.26.28.28,70.85.85.100.100,75.80.85.90.95
