Date,Pulldowns,Standing Skullcrushers,Machine Dips
29/09/2020,30.35.35.40.40,14.14.16.16.18,70.75.80.85.90
2/10/2020,35.35.40.40.45,0.0.0.0.0,70.75.80.85.90
6/10/2020,0.0.0.0.0,14.14.16.16.18,75.80.85.90.95
8/10/2020,30.40.40.40.50,14.14.16.16.18,75.80.85.90.95
10/10/2020,30.40.40.50.50,14.14.16.16.18,80.85.90.95.100
14/10/2020,40.40.40.50.50,14.16.16.18.18,80.85.90.95.100
16/10/2020,40.40.40.50.50,14.16.16.18.18,80.85.90.95.100
20/10/2020,40.40.40.50.50,14.16.16.18.18,85.90.95.100.105
22/10/2020,40.40.50.50.60,16.16.18.18.20,85.90.95.100.105
27/10/2020,40.40.50.50.60,16.16.18.18.20,85.90.95.100.105
29/10/2020,40.40.50.50.60,16.18.18.20.20,90.95.100.105.110
3/11/2020,40.40.50.50.60,16.18.18.20.20,90.95.100.105.110
5/11/2020,40.40.50.50.60,16.18.18.20.20,90.95.100.105.110
10/11/2020,40.40.50.50.60,16.18.18.20.20,90.95.100.105.110
12/11/2020,0,18.18.20.20.22,90.95.100.105.110
17/11/2020,40.40.50.50.60,18.18.20.20.22,90.95.100.105.110
19/11/2020,40.40.50.50.60,18.18.20.20.22,90.95.100.105.110
24/11/2020,40.40.50.50.60,18.20.20.22.22,95.100.105.110.115
27/11/2020,40.40.50.50.60,18.20.20.22.22,95.100.105.110.115
1/12/2020,40.40.50.50.60,18.20.20.22.22,95.100.105.110.115
4/12/2020,40.40.50.50.60,18.20.20.22.22,95.100.105.110.115
8/12/2020,40.50.50.60.60,18.20.20.22.22,95.100.105.110.115
12/12/2020,40.50.50.60.60,20.20.22.22.24,95.100.105.110.115
15/12/2020,40.50.50.60.60,20.20.22.22.24,95.100.105.110.115
